Sample,Prin1,Prin2,Prin3,Prin4
GA,0.001049426,0.002339789,0.00139726,-0.003631419
GA,0.005631721,0.004328081,0.000617875,-0.000451963
GA,0.003136455,-0.007133786,-0.000873285,0.005931906
GA,-0.006366336,0.005236565,-4.16115E-05,0.005290139
GA,0.004242433,0.003543446,-0.000325983,0.005856627
GA,0.006825549,-0.005081602,0.000380528,-0.000405568
GA,-0.006596217,-0.01088086,-0.001345278,0.005927797
GA,0.018849454,-0.00128513,-0.000880003,0.005735253
GA,0.022222193,0.003831156,-0.000949192,0.005150265
GA,-0.003994275,-0.007064102,0.000235517,-0.001839889
GA,0.020395217,0.002666038,-0.000322518,0.002383071
GA,-0.009314515,0.006328459,0.0006471,0.00703201
GA,-0.000171112,-0.006528919,-0.001030898,0.006622975
GA,0.015448036,0.001677682,0.000816678,-0.001255841
GA,0.010398002,-0.012043321,-0.000900007,0.005722039
GA,0.020509089,0.002725811,-0.000475258,0.0039114
GA,0.015939623,0.000433424,0.000273908,0.001023705
GA,0.021473859,0.003352202,-0.000884991,0.00488312
GA,0.012374923,0.003667759,0.000250805,0.001843901
GA,-0.006240608,0.004445943,0.000619165,-0.003369098
GA,0.014147926,0.001504637,0.000915824,-0.002043651
GA,0.012884236,0.000493165,-0.000629573,0.003787215
GA,-0.00056718,-0.008522348,0.000785411,-0.002023466
GA,-0.007399158,-0.007691061,0.000685258,-0.003641739
GA,0.001395247,0.002213803,0.000129087,0.001390059
GA,0.01044771,0.007315798,9.91129E-05,0.001230081
GA,0.009892942,0.009514812,0.001027952,-0.00077854
GA,0.008822137,0.003995675,2.75382E-05,0.001295573
GA,0.019924614,0.000239455,-0.000881807,0.005991113
GA,-0.011327409,0.00125135,0.001558644,-0.005327131
GA,0.018395899,0.001031651,-3.94364E-05,0.002282014
GA,0.011422027,-0.010246818,0.000448432,-0.000559224
GA,0.016501232,0.000518872,-8.33033E-05,0.003914136
GA,0.018797237,0.001769508,-0.000456724,0.004280983
GA,0.018941895,0.000665503,0.000527906,0.000387855
GA,0.011040186,-0.010040718,-0.001379864,0.008514691
GA,0.008582134,0.000138617,0.000895687,-0.001109228
GA,0.009518498,0.000514847,0.000287051,0.00045795
GA,0.004785057,0.011779664,0.000800977,-0.001719172
GA,0.004329584,-0.007531035,0.000959855,-0.001083196
GA,-0.003767203,-0.005207935,-0.001048664,0.00469602
GA,0.02091812,0.004149648,-0.000597334,0.003878316
GA,-0.003632838,-0.000176816,0.00120912,-0.002391014
GA,0.003237567,-0.003181067,0.000951684,-0.002855755
GA,0.009027002,0.001021669,0.002273987,-0.00717118
GA,0.003807609,0.000210895,0.000209964,0.001265964
GA,0.007812892,-0.004055895,0.000635959,-0.002088621
GA,-0.001267566,-0.001659801,0.000803389,-0.003053561
GA,0.005805892,-0.005749174,-0.000427057,0.003994074
GA,0.017671656,-0.000577233,0.000308815,0.000214052
GA,0.007861087,-0.002840547,0.000929178,-0.002520014
GA,0.01395545,0.001767319,0.000975861,-0.00181134
GA,0.020799169,0.002959703,5.11134E-05,0.001396243
GA,0.012604405,-0.001926944,0.000125672,0.001109518
GA,0.007504308,-0.000703692,-3.06447E-05,0.000571658
GA,-0.008015828,-0.006116738,-0.000324734,0.000765564
GA,0.011057929,-0.007259994,-5.96082E-05,0.001049189
GA,0.011354266,0.000740908,-0.00022555,0.002795007
GA,0.012281579,-0.00151633,0.001412937,-0.002525349
GA,0.008165199,0.002483707,8.76787E-05,0.002105792
GA,-0.000721521,0.013574322,0.000536783,0.001984467
GA,0.008506753,-0.001918495,0.000939288,-0.002053455
GA,0.007049036,0.006917744,0.000862234,-0.001882118
GA,0.007464405,-0.0007476,0.000961076,-0.001551917
GA,0.020530614,0.004010019,-0.000371681,0.003785481
GA,0.004287047,-0.004168944,0.000307012,0.001973793
GA,0.016931217,0.004707158,-0.000305326,0.003590612
GA,0.019320621,0.004050539,0.000805593,-0.001586337
GA,0.002834419,-0.005325694,9.36365E-05,0.00046287
GA,0.009484152,0.003398701,0.000804693,-0.000751754
