Sample,FFT_#,q#,Vol_wt
CMP,10,7,86298.11858
CMP,11,5,156436.5017
CMP,11,5,109647.1266
CMP,9,6,109230.9113
CMP,8,7,1006.850799
CMP,9,5,127983.8469
CMP,10,4,106903.5883
CMP,8,5,169033.2489
CMP,5,4,2198.230565
CMP,7,5,78995.67764
CMP,7,7,1791.978841
CMP,8,6,63685.19864
CMP,7,6,69476.35016
CMP,6,5,81152.21241
CMP,9,6,64623.02649
CMP,10,7,39212.94919
CMP,7,6,129394.7069
CMP,8,8,124542.0301
CMP,8,5,50224.14843
CMP,10,8,41618.90449
CMP,7,4,183793.7649
CMP,7,4,124985.1503
CMP,7,6,134128.8802
CMP,11,8,186961.4632
CMP,9,6,123457.2908
CMP,12,7,87142.45476
CMP,9,8,55805.09273
CMP,10,8,116974.6219
CMP,8,8,117572.5683
CMP,9,6,137025.7912
CMP,9,6,44824.95458
CMP,8,6,155904.8235
CMP,8,9,44409.50322
CMP,8,5,66607.2291
CMP,8,5,183109.1886
CMP,10,7,25403.74373
CMP,11,8,131414.2418
CMP,11,6,106023.2491
CMP,9,4,124734.2942
CMP,10,5,52820.51719
CMP,9,6,133863.452
CMP,8,4,146112.587
CMP,11,6,86216.73156
CMP,9,7,93546.56541
CMP,9,6,69841.23076
CMP,9,12,28070.20373
CMP,8,8,89467.27225
CMP,9,5,151566.1689
CMP,7,5,65336.12643
CMP,9,6,109991.7044
CMP,7,5,47066.35118
CMP,7,4,128557.7165
CMP,9,5,134154.6033
CMP,9,5,95918.88905
CMP,10,6,105374.5254
CMP,8,9,106308.4909
CMP,9,6,191187.2222
CMP,7,5,99138.4154
CMP,9,5,110360.7447
CMP,9,5,118196.1162
CMP,10,8,36394.00668
CMP,10,6,155949.7933
CMP,12,8,74213.21624
CMP,8,5,88585.64491
CMP,10,10,79513.19208
CMP,7,4,5121.750741
CMP,9,6,153631.8095
CMP,10,5,61816.66598
CMP,10,6,65437.22622
CMP,11,8,41967.30577
CMP,5,7,835.9871803
CMP,9,4,104191.1567
CMP,9,4,97123.97105
CMP,6,6,153040.6643
CMP,10,10,244093.0953
CMP,9,7,55160.50122
CMP,11,6,70510.73617
CMP,10,6,85847.43219
CMP,8,10,70801.26132
CMP,9,6,98388.13543
CMP,9,5,17241.03736
CMP,9,6,91563.42581
CMP,7,4,121985.3988
CMP,10,7,102926.056
CMP,9,5,50168.59438
CMP,9,4,185632.986
CMP,8,3,97693.70774
CMP,7,6,120255.0622
CMP,10,7,115016.08
CMP,9,6,147976.1425
CMP,9,6,67490.95054
CMP,9,6,81957.64899
CMP,10,8,78328.93359
CMP,9,6,34683.09773
CMP,12,7,79628.35535
CMP,8,4,59443.64861
CMP,11,7,89355.0572
CMP,10,6,105493.0787
CMP,6,6,86372.03856
CMP,8,5,1544.018981
CMP,8,6,103177.0457
CMP,8,6,114617.5063
CMP,11,8,120494.657
CMP,9,10,43570.70803
CMP,11,6,153578.0669
CMP,10,8,38493.21046
CMP,8,8,158623.4753
CMP,8,6,77022.36164
CMP,9,6,114260.0797
CMP,7,5,129216.987
CMP,8,8,55613.34839
CMP,8,5,117302.1771
CMP,7,5,109735.2301
CMP,11,9,131414.2418
CMP,8,5,92288.46185
CMP,8,6,41659.5092
